appid,tags
204030,Action;Action RPG;Adventure;Atmospheric;Character Customization;Choices Matter;Classic;Comedy;Dark Fantasy;Exploration;Fantasy;Great Soundtrack;Magic;Medieval;Open World;Replay Value;RPG;Singleplayer;Story Rich;Third Person
204060,2D;Adventure;Atmospheric;Beautiful;Casual;Exploration;Fantasy;Female Protagonist;Great Soundtrack;Indie;Music;Pixel Graphics;Point & Click;Puzzle;Relaxing;Retro;Singleplayer;Story Rich;Touch-Friendly;Walking Simulator
204100,Action;Adventure;Atmospheric;Bullet Time;Cinematic;Co-op;Dark;Drama;Great Soundtrack;Linear;Multiplayer;Noir;Nudity;Open World;Shooter;Singleplayer;Story Rich;Third Person;Third-Person Shooter;Violent
204120,Action;Adventure;Co-op;Comedy;Controller;Family Friendly;Fantasy;Funny;LEGO;Local Co-Op;Local Multiplayer;Magic;Multiplayer;Open World;Puzzle;Singleplayer;Split Screen;Third Person
204180,2D;Action;Adventure;Arcade;Atmospheric;Casual;Difficult;Fantasy;Great Soundtrack;Indie;Puzzle;Rhythm;Sci-fi;Shoot 'Em Up;Singleplayer;Space;Strategy
204220,2D;Adventure;Casual;Indie;Platformer;Puzzle;Puzzle-Platformer;Singleplayer
204240,2D;Abstract;Adventure;Atmospheric;Casual;Dark;Difficult;Emotional;Hand-drawn;Indie;Logic;Philosophical;Physics;Platformer;Puzzle;Puzzle-Platformer;Singleplayer;Strategy;Stylized;Surreal
204300,2D;Action;Cartoon;Co-op;Competitive;Controller;Free to Play;Funny;Great Soundtrack;Indie;Local Co-Op;Local Multiplayer;MOBA;Multiplayer;Online Co-Op;Platformer;Sci-fi;Side Scroller;Space;Strategy
204340,Action;Adventure;Atmospheric;Boomer Shooter;Classic;Co-op;Colorful;Comedy;Difficult;First-Person;FPS;Funny;Gore;Great Soundtrack;Indie;Multiplayer;Online Co-Op;Sci-fi;Shooter;Singleplayer
204360,2D;4 Player Local;Action;Adventure;Arcade;Beat 'em up;Cartoony;Casual;Co-op;Comedy;Cute;Funny;Hack and Slash;Local Co-Op;Local Multiplayer;Medieval;Multiplayer;Online Co-Op;RPG;Singleplayer
204390,Action;Indie;Rogue-like;Top-Down;Twin Stick Shooter
204440,Adventure;Casual;Hidden Object;Point & Click
204450,Action;Adventure;Alternate History;America;Arcade;Atmospheric;Bullet Time;Comedy;Dynamic Narration;First-Person;FPS;Funny;Gore;Historical;Narration;Shooter;Singleplayer;Story Rich;Violent;Western
204530,2D;Action;Aliens;Gore;Indie;Real-Time with Pause;RTS;Sci-fi;Singleplayer;Strategy;Tactical;Top-Down;Tower Defense
204560,Action;Fantasy;RPG;Singleplayer;Strategy;Tactical RPG
204580,Action;Casual;Local Multiplayer
204630,1980s;2D;Action;Adventure;Comedy;Crime;Funny;Great Soundtrack;Indie;Open World;Parody ;Pixel Graphics;Racing;Retro;Sandbox;Satire;Shooter;Singleplayer;Top-Down;Violent
204860,Action;Historical;Multiplayer;RTS;Strategy;War;World War II
204880,3D;4X;Base-Building;Co-op;Diplomacy;Exploration;Grand Strategy;Management;Military;Multiplayer;Online Co-Op;Replay Value;RTS;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Space Sim;Strategy
204940,Grand Strategy;Historical;Medieval;Real-Time with Pause;Singleplayer;Strategy
205020,1990's;2D;Adventure;Casual;Cult Classic;Funny;Great Soundtrack;Indie;Point & Click;Puzzle;Retro;Singleplayer;Story Rich
205060,Action;Indie;Music;Rhythm
205070,Action;Indie;Music;Rhythm
205080,Action;Bullet Hell;Indie;Music;Rhythm;Shoot 'Em Up;Shooter
205100,Action;Adventure;Assassin;Atmospheric;Dark;Dystopian ;Fantasy;First-Person;FPS;Immersive Sim;Magic;Multiple Endings;Open World;Replay Value;RPG;Shooter;Singleplayer;Stealth;Steampunk;Story Rich
205230,2D;Action;Adventure;Cartoony;Colorful;Comedy;Controller;Cute;Dark Humor;Difficult;Funny;Gore;Great Soundtrack;Indie;Metroidvania;Platformer;Side Scroller;Singleplayer;Violent
205530,Indie;Simulation;Strategy;Tanks;Tower Defense
205550,Action;Cartoon;Casual;Gore;Indie;Multiplayer;Shooter;Third-Person Shooter;Violent;Zombies
205610,Action;Adventure;City Builder;Economy;Historical;Management;Naval;Naval Combat;Open World;Pirates;Sailing;Simulation;Singleplayer;Strategy;Trading
205650,Adventure;Atmospheric;Based On A Novel;Crime;Detective;Escape Room;First-Person;Investigation;Mystery;Open World;Point & Click;Puzzle;Singleplayer;Story Rich;Third Person
205690,2D;Adventure;Indie;Metroidvania;Platformer;Puzzle;Puzzle-Platformer;Singleplayer
205710,Action;Adventure;Character Customization;Classic;Dwarf;Elf;Fantasy;Free to Play;Massively Multiplayer;MMORPG;Multiplayer;Old School;Open World;RPG;Sandbox;Sexual Content
205730,2D;Action;Action-Adventure;Adventure;Atmospheric;Co-op;Controller;Exploration;Indie;Local Co-Op;Metroidvania;Psychedelic;Puzzle;Sci-fi;Side Scroller;Singleplayer
205810,RPG;Simulation;Singleplayer;Strategy;Tactical;Tactical RPG;Turn-Based Tactics
205830,Action;Arcade;Casual;Indie;Match 3;Puzzle
205840,Adventure;Dark;Escape Room;Mystery;Point & Click;Puzzle;Story Rich
205870,Casual;Great Soundtrack;Indie;Music;Puzzle
205910,3D Platformer;Action;Adventure;Atmospheric;Beautiful;Comedy;Funny;Great Soundtrack;Indie;Physics;Platformer;Puzzle;Sandbox;Short;Singleplayer;Third Person
205990,4X;Adventure;Fantasy;Hex Grid;Magic;Multiplayer;RPG;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy
206020,CRPG;Fantasy;Indie;Isometric;Old School;Party-Based RPG;RPG;Singleplayer;Turn-Based
206040,CRPG;Fantasy;Indie;Isometric;Party-Based RPG;RPG;Turn-Based
206060,CRPG;Fantasy;Indie;Isometric;Old School;Party-Based RPG;RPG;Turn-Based;Turn-Based Combat
206190,2D;Action;Adventure;Comedy;Funny;GameMaker;Great Soundtrack;Hacking;Indie;Level Editor;Noir;Pixel Graphics;Platformer;Puzzle;Sci-fi;Short;Singleplayer;Stealth;Story Rich;Strategy
206230,Action;RPG;Violent
206250,Action;Action RPG;Anime;Character Customization;Dungeon Crawler;Hack and Slash;Indie;JRPG;Pixel Graphics;Retro;RPG;Singleplayer;Violent
206370,2D;2D Platformer;Action;Adventure;Cartoony;Collectathon;Colorful;Comedy;Exploration;Family Friendly;Funny;Hand-drawn;Indie;Physics;Platformer;Puzzle;Puzzle-Platformer;Retro;Side Scroller;Singleplayer
206410,Casual;Puzzle;Strategy
206420,Action;Adventure;Aliens;Character Customization;Co-op;Comedy;Dark Humor;Female Protagonist;Funny;Great Soundtrack;Multiplayer;Online Co-Op;Open World;Parody ;Sandbox;Sci-fi;Singleplayer;Superhero;Third Person;Third-Person Shooter
206440,2D;Adventure;Casual;Cute;Emotional;Female Protagonist;Funny;Great Soundtrack;Indie;Interactive Fiction;Linear;Pixel Graphics;Psychological;Retro;Romance;RPG;RPGMaker;Short;Singleplayer;Story Rich
206480,Action;Adventure;Character Customization;Co-op;Dragons;Dungeon Crawler;Dungeons & Dragons;Dwarf;Fantasy;Free to Play;Magic;Massively Multiplayer;MMORPG;Multiplayer;Online Co-Op;Open World;Puzzle;RPG;Sandbox;Third Person
206500,Action;Adventure;Co-op;Early Access;Fast-Paced;Free to Play;Indie;Massively Multiplayer;Mechs;MOBA;Multiplayer;Online Co-Op;PvP;Robots;RPG;RTS;Sci-fi;Shooter;Singleplayer;Strategy
206610,Casual;Indie;Match 3;Puzzle;Singleplayer
206690,2D;Action;Casual;Crowdfunded;Difficult;Gaming;Historical;Indie;Military;Minimalist;Sequel;Singleplayer;Strategy;Top-Down;Touch-Friendly;Tower Defense;Turn-Based Strategy;War;Wargame;World War II
206760,3D;Action;Boomer Shooter;First-Person;FPS;Gore;Horror;Shooter;Singleplayer;Supernatural;Violent
207000,Action;Adventure;Indie;Platformer;Singleplayer
207020,4 Player Local;Arcade;Local Multiplayer;Racing;Singleplayer;Split Screen;Top-Down
207040,2D;Action;Arcade;Bullet Hell;Controller;Difficult;Indie;Shoot 'Em Up;Shooter;Side Scroller;Singleplayer;Steampunk
207080,Anime;Documentary;Dystopian ;Emotional;Feature Film;Female Protagonist;Game Development;Great Soundtrack;Indie;Linear;Movie;Post-apocalyptic;Singleplayer;Story Rich
207140,2D;4 Player Local;Action;Arcade;Co-op;Competitive;Controller;Fast-Paced;Funny;Indie;Level Editor;Local Co-Op;Local Multiplayer;Multiplayer;Parkour;Platformer;Racing;Singleplayer;Sports;Superhero
207170,Action;Adventure;Atmospheric;Character Customization;Difficult;Dungeon Crawler;Fantasy;First-Person;Grid-Based Movement;Indie;Level Editor;Moddable;Old School;Party-Based RPG;Puzzle;Real-Time;Retro;RPG;Singleplayer;Tactical
207190,Action;Adventure;Local Multiplayer;Racing
207230,Action;Adventure;Anime;Co-op;Fantasy;Female Protagonist;Fighting;Free to Play;Hack and Slash;Indie;Massively Multiplayer;MMORPG;MOBA;Multiplayer;Online Co-Op;PvP;RPG;Team-Based;Third Person;Third-Person Shooter
207250,Indie;Multiplayer;Singleplayer;Strategy;Touch-Friendly;Tower Defense
207320,Action;Action RPG;Adventure;Anime;Classic;Difficult;Dungeon Crawler;Fantasy;Great Soundtrack;Hack and Slash;JRPG;Remake;RPG;Singleplayer;Top-Down
207350,2D;3D Vision;Action;Action RPG;Adventure;Anime;Classic;Difficult;Dungeon Crawler;Fantasy;Female Protagonist;Great Soundtrack;Hack and Slash;JRPG;Remake;RPG;Singleplayer;Story Rich
207420,2D;Action;Adventure;Arcade;Casual;Fantasy;Indie;Magic;Old School;Pixel Graphics;Puzzle;Retro;RPG;Singleplayer
207430,2D;Casual;Difficult;Dungeon Crawler;Fantasy;Hack and Slash;Indie;Loot;Perma Death;Pixel Graphics;Retro;Rogue-like;Rogue-lite;RPG;Singleplayer;Traditional Roguelike;Turn-Based
207490,2D;4 Player Local;Action;Adventure;Cartoony;Co-op;Colorful;Comedy;Controller;Difficult;Family Friendly;Fantasy;Funny;Great Soundtrack;Local Co-Op;Local Multiplayer;Multiplayer;Platformer;Side Scroller;Singleplayer
207530,2D;Action;Anime;Arcade;Beat 'em up;Beautiful;Female Protagonist;Great Soundtrack;Indie;Pixel Graphics;Platformer;Retro;Short;Side Scroller;Singleplayer
207570,3D;Abstract;Casual;Difficult;Indie;Puzzle;Singleplayer;Sokoban
207610,Action;Adventure;Atmospheric;Choices Matter;Choose Your Own Adventure;Comic Book;Drama;Emotional;Episodic;Gore;Horror;Mature;Point & Click;Post-apocalyptic;Quick-Time Events;Singleplayer;Story Rich;Survival;Third Person;Zombies
207650,2D;4 Player Local;Action;Casual;Co-op;Controller;Indie;Local Co-Op;Local Multiplayer;Puzzle;Singleplayer;Strategy
207670,Casual;Indie;Music
207690,2D;Adventure;Atmospheric;Cartoony;Casual;Colorful;Comedy;Cute;Exploration;Family Friendly;Funny;Hand-drawn;Nature;Point & Click;Puzzle;Relaxing;Singleplayer;Story Rich;Stylized;Surreal
207710,Casual;Indie;Strategy
207730,Action;RTS;Strategy
207750,Action;Arcade;Bullet Hell;Casual;Indie;Music;Music-Based Procedural Generation;Procedural Generation;Rhythm;Shoot 'Em Up;Shooter;Singleplayer
207790,Arcade;Flight;Simulation
207930,2D;Action;Arcade;Beat 'em up;Co-op;Controller;Fantasy;Fighting;Hack and Slash;Indie;Local Co-Op;Local Multiplayer;Multiplayer;Online Co-Op;Platformer;RPG;Side Scroller;Singleplayer
208110,Adventure;Atmospheric;Casual;Classic;Exploration;First-Person;Mystery;Point & Click;Puzzle;Singleplayer;Story Rich
208140,4X;Aliens;Atmospheric;Diplomacy;Exploration;Futuristic;Grand Strategy;Great Soundtrack;Indie;Management;Multiplayer;Replay Value;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Strategy;Turn-Based;Turn-Based Strategy
208200,3D Vision;Action;Atmospheric;Classic;Dark;Demons;First-Person;FPS;Gore;Great Soundtrack;Horror;Mars;Multiplayer;Sci-fi;Shooter;Singleplayer;Space;Survival;Survival Horror;Zombies
208400,2D;Adventure;CRPG;Exploration;Fantasy;Female Protagonist;Grid-Based Movement;Indie;Isometric;Old School;Open World;Party-Based RPG;Remake;Retro;RPG;Singleplayer;Story Rich;Strategy;Turn-Based;Turn-Based Combat
208460,Action;Indie;RTS;Strategy
208520,Atmospheric;Crime;Historical;Management;Multiplayer;Open World;RPG;Sandbox;Simulation;Singleplayer;Strategy;Tactical;Turn-Based;Turn-Based Combat;Turn-Based Strategy;Turn-Based Tactics
208580,Action;Adventure;Atmospheric;Character Customization;Choices Matter;Classic;Female Protagonist;Great Soundtrack;Moddable;Multiple Endings;Party-Based RPG;Real-Time with Pause;RPG;Sci-fi;Singleplayer;Space;Story Rich;Third Person;Turn-Based;Turn-Based Combat
208600,Difficult;Flight;Indie;Multiplayer;Physics;Realistic;Simulation;Singleplayer;Space;TrackIR;VR
208620,Adventure;Casual;Hidden Object;Puzzle
208630,Adventure;Casual;Hidden Object;Point & Click;Puzzle
208640,Adventure;Casual;Hidden Object;Puzzle
208650,Action;Adventure;Atmospheric;Beat 'em up;Comic Book;Dark;Detective;Epic;Fighting;Horror;Mature;Open World;Puzzle;Sandbox;Singleplayer;Stealth;Story Rich;Strategy;Superhero;Third Person
208670,Action;Adventure;Anime;Beat 'em up;Character Action Game;Controller;Difficult;Fantasy;Female Protagonist;Hack and Slash;Multiplayer;Nudity;RPG;Sexual Content;Singleplayer;Spectacle fighter;Third Person;Time Manipulation
208710,Action;Indie;Puzzle
208730,Action;Action RPG;Adventure;Based On A Novel;Character Customization;Choices Matter;Controller;Dark Fantasy;Fantasy;Mature;Medieval;Multiplayer;Multiple Endings;Nudity;Open World;RPG;Sexual Content;Singleplayer;Story Rich;Third Person
208750,2D;Action;Adventure;Atmospheric;Difficult;Great Soundtrack;Hack and Slash;Historical;Indie;Metroidvania;Multiplayer;Mythology;Nudity;Platformer;RPG;Side Scroller;Singleplayer;Souls-like;Stylized
209000,3D Vision;Action;Action-Adventure;Adventure;Atmospheric;Beat 'em up;Comic Book;Controller;Detective;Fighting;Multiplayer;Open World;RPG;Sandbox;Singleplayer;Stealth;Story Rich;Superhero;Third Person;Third-Person Shooter
209060,Action;Arcade;Arena Shooter;Bullet Hell;Comedy;First-Person;FPS;Funny;Futuristic;Great Soundtrack;Indie;Level Editor;Moddable;Nudity;Robots;Sci-fi;Score Attack;Sexual Content;Shooter;Singleplayer
209080,Action;Adventure;Class-Based;Co-op;Competitive;First-Person;Flight;FPS;Indie;Kickstarter;Massively Multiplayer;Multiplayer;Online Co-Op;PvP;Shooter;Simulation;Steampunk;Strategy;Tactical;Team-Based
209120,2.5D;2D;2D Fighter;3D Vision;4 Player Local;Action;Anime;Arcade;Beat 'em up;Co-op;Controller;Fighting;Local Co-Op;Local Multiplayer;Multiplayer;Online Co-Op;Singleplayer
209160,Action;America;Co-op;Competitive;Dog;Fast-Paced;First-Person;FPS;Futuristic;Hacking;Linear;Military;Multiplayer;Online Co-Op;Shooter;Singleplayer;Survival Horror;Tactical;Team-Based;War
209190,2D;Action;Difficult;Fast-Paced;GameMaker;Gore;Great Soundtrack;Indie;Level Editor;Pixel Graphics;Platformer;Puzzle;Puzzle-Platformer;Singleplayer;Stealth
209230,Adventure;Casual;Detective;Hidden Object;Mystery;Point & Click;Puzzle;Singleplayer
209330,2D;Action;Action Roguelike;Adventure;Co-op;Experimental;Fantasy;Indie;Loot;Magic;Metroidvania;Multiplayer;Open World;Platformer;Procedural Generation;Rogue-lite;Roguevania;Sci-fi;Side Scroller;Singleplayer
209360,Action;Indie;Twin Stick Shooter;Zombies
209370,2D;Adventure;Anime;Cute;Dark;Dating Sim;Female Protagonist;Great Soundtrack;Hacking;Indie;Interactive Fiction;LGBTQ+;Mature;Multiple Endings;Mystery;Romance;Sci-fi;Singleplayer;Story Rich;Visual Novel
209540,Action;Controller;Flight;Great Soundtrack;Indie;Kickstarter;Mechs;Robots;Sci-fi;Shooter;Simulation;Singleplayer;Space;Space Sim;Third Person;Third-Person Shooter
209610,Casual;Indie;Simulation
209630,Action;Adventure;Cyberpunk;First-Person;FPS;Horror;Indie;Lovecraftian;Platformer;Puzzle;Sci-fi;Singleplayer
209650,Action;America;Co-op;Dog;Fast-Paced;First-Person;FPS;Futuristic;Illuminati;Linear;Mechs;Military;Multiplayer;Online Co-Op;PvP;Quick-Time Events;Sci-fi;Shooter;Singleplayer;War
209670,2D;Action;Difficult;Gore;Indie;Local Co-Op;Local Multiplayer;Moddable;Multiplayer;Physics;Pixel Graphics;Platformer;Replay Value;RTS;Sandbox;Sci-fi;Singleplayer;Split Screen;Strategy;Violent
209690,Casual;Indie;Singleplayer;Strategy;Touch-Friendly;Tower Defense
209730,Action;Action RPG;Co-op;Dungeon Crawler;Fantasy;Hack and Slash;Isometric;Local Co-Op;RPG;Top-Down
209750,Action;Singleplayer;Strategy;Violent
209790,Abstract;Casual;Great Soundtrack;Indie;Puzzle;Relaxing;Singleplayer;Touch-Friendly
209830,2D;Action;Adventure;Atmospheric;Dark;Exploration;Great Soundtrack;Horror;Indie;Pixel Graphics;Psychological Horror;Retro;RPG;Side Scroller;Simulation;Singleplayer;Story Rich;Survival;Survival Horror;Zombies
209850,Casual;Indie;Strategy;Turn-Based;Turn-Based Strategy
209950,Addictive;Casual;City Builder;Cute;Indie;Match 3;Puzzle;Singleplayer;Strategy
210170,2D;Action;Atmospheric;Casual;Cute;Hand-drawn;Indie;Lemmings;Nature;Puzzle;Relaxing;Singleplayer;Strategy;Touch-Friendly
210230,1990's;2.5D;2D;Adventure;Atmospheric;Casual;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Mystery;Point & Click;Puzzle;Remake;Retro;Story Rich
210770,Action;Aliens;Co-op;Combat;Female Protagonist;First-Person;FPS;Funny;Futuristic;Great Soundtrack;Indie;Multiplayer;Online Co-Op;RPG;Sci-fi;Shooter;Singleplayer;Strategy;Survival;Tower Defense
210950,Action;Adventure;Classic;Fantasy;Gore;Hack and Slash;Multiplayer;Mythology;Nostalgia;RPG;Singleplayer;Third Person;Vikings
210970,Adventure;Atmospheric;Beautiful;Casual;Colorful;Difficult;Exploration;First-Person;Great Soundtrack;Indie;Mystery;Nonlinear;Open World;Philosophical;Puzzle;Relaxing;Singleplayer;Story Rich;Surreal;Walking Simulator
211010,Action;Aliens;Gore;Indie;Isometric;RPG;Shooter;Singleplayer;Top-Down Shooter
211070,Action;Board Game;Casual;Chess;Strategy
211160,Action;Action RPG;Adventure;Controller;Fantasy;Gore;Hack and Slash;Mythology;Open World;RPG;Singleplayer;Strategy;Third Person;Vikings
211180,Adventure;Casual;Indie;Physics;Platformer;Puzzle;Robots
211260,2D;2D Platformer;Action;Beat 'em up;Blood;Cute;Difficult;Electronic Music;Female Protagonist;Gore;Gothic;Hack and Slash;Indie;Lovecraftian;Pixel Graphics;Platformer;Precision Platformer;Side Scroller;Singleplayer;Supernatural
211280,Action;Co-op;Gore;Horror;Indie;Shooter;Top-Down;Top-Down Shooter;Violent;Zombies
211340,Adventure;Anime;Character Customization;Choices Matter;Dating Sim;Dungeon Crawler;Fantasy;Female Protagonist;Indie;LGBTQ+;Magic;Otome;Puzzle;Romance;RPG;Simulation;Singleplayer;Story Rich;Turn-Based;Visual Novel
211360,2D;Action;Adventure;Cute;Family Friendly;Female Protagonist;Indie;Level Editor;Pixel Graphics;Platformer;Puzzle;Puzzle-Platformer;Retro;Singleplayer;Time Attack
211400,2.5D;2D;Action;Adventure;Atmospheric;Controller;Great Soundtrack;Horror;Indie;Noir;Parkour;Platformer;Post-apocalyptic;Puzzle;Short;Side Scroller;Singleplayer;Story Rich;Survival;Zombies
211440,2D;Action;Co-op;Indie;Local Co-Op;Local Multiplayer;Platformer;Puzzle;Puzzle-Platformer;Singleplayer;Time Manipulation
211500,Artificial Intelligence;Automobile Sim;Co-op;Competitive;Controller;Difficult;Driving;e-sports;First-Person;Free to Play;Massively Multiplayer;Multiplayer;Physics;PvP;Racing;Realistic;Simulation;Singleplayer;Sports;VR
211580,Action;Adventure;Co-op;GameMaker;Indie;Multiplayer;Online Co-Op;Pixel Graphics;RPG
211600,1990's;Action;Adventure;Atmospheric;Classic;Cult Classic;Dark;Dark Fantasy;Exploration;Fantasy;First-Person;Horror;Immersive;Immersive Sim;Medieval;Moddable;Singleplayer;Stealth;Steampunk;Story Rich
211740,Action;Adventure;Atmospheric;Classic;Cult Classic;Dark;Dark Fantasy;Fantasy;First-Person;FPS;Great Soundtrack;Horror;Immersive;Immersive Sim;Medieval;Sequel;Singleplayer;Stealth;Steampunk;Story Rich
211780,Action;Classic;Military;Multiplayer;Shooter;Singleplayer;Strategy;Tactical;Third Person;Third-Person Shooter
211800,Casual;Cooking;Indie;Management;Singleplayer;Time Management;Vampire;Werewolves;Zombies
211820,2D;Action;Adventure;Atmospheric;Building;Co-op;Crafting;Exploration;Indie;Multiplayer;Online Co-Op;Open World;Open World Survival Craft;Pixel Graphics;Relaxing;RPG;Sandbox;Sci-fi;Space;Survival
211900,2D;4X;Dwarf;Fantasy;Indie;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy
211970,Racing;Simulation
212010,3D;3D Fighter;3D Vision;Action;Action-Adventure;Adventure;Arcade;Atmospheric;Exploration;Flight;Historical;Linear;Sci-fi;Shooter;Simulation;Singleplayer;Space;Space Sim;Third Person;Third-Person Shooter
212030,Action;Beat 'em up;Co-op;Difficult;Fighting;Indie;Local Co-Op;Local Multiplayer;Martial Arts;Singleplayer
212050,2D;Adventure;Escape Room;Female Protagonist;Indie;Kickstarter;Mystery;Pixel Graphics;Point & Click;Puzzle;Retro;Sci-fi;Singleplayer;Story Rich
212070,3D;Action;Aliens;Atmospheric;Choose Your Own Adventure;Crafting;Flight;Free to Play;Massively Multiplayer;Online Co-Op;Open World;PvE;RPG;Sandbox;Sci-fi;Science;Shooter;Space Sim;Third Person;Trading
212110,2D;2D Platformer;Action;Anime;Casual;Colorful;Comic Book;Controller;Cute;Difficult;e-sports;Family Friendly;Indie;Multiple Endings;Platformer;Puzzle;Puzzle-Platformer;Short;Singleplayer;Soundtrack
212160,Action;Action RPG;Adventure;Character Customization;Co-op;Fantasy;Fast-Paced;Free to Play;Gore;Hack and Slash;Massively Multiplayer;MMORPG;Multiplayer;Nudity;Open World;PvP;RPG;Singleplayer;Third Person;Violent
212200,Action;Action RPG;Adventure;Anime;Casual;Character Customization;Cute;Fantasy;Free to Play;Great Soundtrack;JRPG;Life Sim;Massively Multiplayer;MMORPG;Multiplayer;Open World;RPG;Sandbox;Simulation;Story Rich
212390,Action;Adventure;Character Customization;Fantasy;Free to Play;Hack and Slash;Massively Multiplayer;MMORPG;Multiplayer;Open World;PvP;RPG
212410,3D Vision;Action;Co-op;Gore;Sci-fi;Shooter;Singleplayer;Third Person;Third-Person Shooter;Violent
212480,4 Player Local;Action;Adventure;Arcade;Co-op;Colorful;Controller;Family Friendly;Fast-Paced;Great Soundtrack;Local Co-Op;Local Multiplayer;Multiplayer;Online Co-Op;Racing;Replay Value;Singleplayer;Split Screen;Sports;Touch-Friendly
212500,Action;Adventure;Based On A Novel;Character Customization;Co-op;Dark Fantasy;Exploration;Fantasy;Free to Play;Massively Multiplayer;MMORPG;Multiplayer;Online Co-Op;Open World;PvP;RPG;Singleplayer;Story Rich;Survival;Third Person
212630,Action;Adventure;Atmospheric;Co-op;Controller;First-Person;FPS;Futuristic;Gun Customization;Military;Multiplayer;Online Co-Op;Open World;Shooter;Singleplayer;Stealth;Strategy;Tactical;Third Person;Third-Person Shooter
212680,2D;Adventure;Choose Your Own Adventure;Difficult;Indie;Perma Death;Procedural Generation;Real-Time with Pause;Replay Value;Rogue-like;Rogue-lite;Sci-fi;Simulation;Singleplayer;Space;Space Sim;Strategy;Survival;Tactical;Top-Down
212700,Action;Adventure;Co-op;Indie;Local Co-Op;Platformer;Puzzle
212780,Football (Soccer);Indie;Simulation;Sports
212800,2D;Action;Addictive;Arcade;Co-op;Controller;Difficult;Family Friendly;Fast-Paced;Free to Play;GameMaker;Great Soundtrack;Indie;Multiplayer;Pixel Graphics;Platformer;Retro;Rogue-like;Shooter;Singleplayer
213030,2D;Adventure;Comedy;Controller;Detective;Funny;Indie;JRPG;Lovecraftian;Mystery;Party-Based RPG;Pixel Graphics;Retro;RPG;RPGMaker;Sequel;Singleplayer;Top-Down;Turn-Based;Turn-Based Combat
213330,Action;Adventure;Casual;Co-op;Comedy;Comic Book;Controller;Family Friendly;Funny;LEGO;Local Co-Op;Local Multiplayer;Multiplayer;Open World;Puzzle;Singleplayer;Split Screen;Story Rich;Superhero;Third Person
213350,Action;Comedy;Funny;Platformer;Remake;Sci-fi;Singleplayer;Third Person;Third-Person Shooter
213390,Casual;Indie
213610,3D;3D Platformer;Action;Adventure;Classic;Comedy;Family Friendly;Fast-Paced;Great Soundtrack;Local Multiplayer;Multiplayer;Platformer;Racing;Replay Value;Retro;Sci-fi;Singleplayer;Split Screen;Story Rich;Third Person
213650,2D;Arcade;Casual;Dwarf;Free to Play;Funny;Indie;Mining;Multiplayer;RTS;Sandbox;Singleplayer;Strategy;Top-Down
213670,2D;Action;Adventure;Cartoon;Comedy;Dark Humor;Epic;Fantasy;Funny;JRPG;Mature;Nudity;Open World;RPG;Satire;Singleplayer;Story Rich;Turn-Based;Turn-Based Strategy;Zombies
214100,Casual;Indie;Simulation;Strategy
214150,2D;4X;Addictive;Aliens;Artificial Intelligence;Building;Difficult;Diplomacy;Futuristic;Grand Strategy;PvE;Resource Management;Sandbox;Sci-fi;Singleplayer;Space;Strategy;Top-Down;Turn-Based;Turn-Based Strategy
214170,2D;Action;Action RPG;Adventure;Atmospheric;Classic;CRPG;Cult Classic;Exploration;Fantasy;Female Protagonist;Funny;Great Soundtrack;Hack and Slash;Isometric;Open World;Real-Time with Pause;RPG;Singleplayer;Story Rich
214340,2D;Adventure;Classic;Comedy;Cult Classic;Dark Humor;Dystopian ;Escape Room;Funny;Great Soundtrack;Hand-drawn;Hidden Object;Indie;Point & Click;Puzzle;Retro;Sci-fi;Singleplayer;Steampunk;Story Rich
214360,Action;Co-op;Difficult;Indie;Multiplayer;Online Co-Op;Singleplayer;Steampunk;Strategy;Tower Defense
214420,Action;Adventure;Building;FPS;Free to Play;Funny;Indie;Massively Multiplayer;Multiplayer;Open World;PvP;Robots;Sandbox;Shooter;Simulation;Singleplayer;Strategy;Tanks;Third Person;War
214490,Action;Adventure;Aliens;Atmospheric;Difficult;Female Protagonist;First-Person;FPS;Gore;Great Soundtrack;Horror;Psychological Horror;Sci-fi;Shooter;Singleplayer;Space;Stealth;Survival;Survival Horror;VR
214510,Action;Adventure;Casual;Co-op;Comedy;Controller;Dwarf;Family Friendly;Fantasy;Funny;LEGO;Local Co-Op;Local Multiplayer;Multiplayer;Open World;Platformer;Puzzle;Singleplayer;Split Screen;Third Person
214550,2D;Casual;Cute;Family Friendly;Indie;Platformer;Puzzle;Simulation;Singleplayer;Strategy;Touch-Friendly
214560,2D;Action;Adventure;Assassin;Atmospheric;Cartoon;Casual;Controller;Dark;Indie;Ninja;Platformer;Puzzle;Replay Value;Short;Side Scroller;Singleplayer;Stealth;Story Rich;Strategy
214570,Action;Anime;Arcade;Bullet Hell;Indie;Mechs;Sci-fi;Shoot 'Em Up;Shooter;Singleplayer
214590,Action;Anime;Beat 'em up;Character Action Game;Cute;Female Protagonist;Fighting;Hack and Slash;Indie;JRPG;Platformer;RPG;Side Scroller;Singleplayer
