appid,tags
2280,1990's;2.5D;Action;Boomer Shooter;Classic;Demons;Difficult;Fast-Paced;First-Person;FPS;Gore;Great Soundtrack;Moddable;Multiplayer;Old School;Retro;Sci-fi;Shooter;Singleplayer;Violent
2310,1990's;Action;Arena Shooter;Atmospheric;Boomer Shooter;Classic;Co-op;Fast-Paced;First-Person;FPS;Gore;Great Soundtrack;Horror;Moddable;Multiplayer;Old School;Retro;Sci-fi;Shooter;Singleplayer
2320,1990's;Action;Arena Shooter;Atmospheric;Boomer Shooter;Classic;Co-op;Fast-Paced;First-Person;FPS;Gore;Great Soundtrack;Horror;Moddable;Multiplayer;Old School;Retro;Sci-fi;Shooter;Singleplayer
2400,Action;Adventure;Assassin;Comedy;Difficult;First-Person;FPS;Funny;Indie;Multiplayer;Mystery;Replay Value;RPG;Shooter;Simulation;Singleplayer;Stealth;Strategy;Stylized;Survival
2420,Action;First-Person;FPS;Indie;Multiplayer;RPG;Shooter;Singleplayer;Stealth
2450,Action;Blood;Comedy;First-Person;FPS;Funny;Gore;Multiplayer;Shooter;Singleplayer
2500,Action;Adventure;Aliens;Co-op;Combat;Dark;Gore;Horror;Indie;Isometric;Local Co-Op;Multiplayer;PvE;Sci-fi;Shoot 'Em Up;Shooter;Singleplayer;Top-Down;Top-Down Shooter;Twin Stick Shooter
2520,2D;2D Platformer;Action;Casual;Flight;Indie;Physics;Platformer;Singleplayer
2540,2D;Action;Arcade;Casual;Co-op;Indie;Shoot 'Em Up;Shooter;Singleplayer;Top-Down;Top-Down Shooter
2590,Action;Difficult;First-Person;FPS;Gore;Sci-fi;Shooter;Singleplayer;Space;Violent
2600,Action;Action RPG;Adventure;Atmospheric;Classic;Cult Classic;Dark;Female Protagonist;First-Person;Gothic;Great Soundtrack;Horror;Immersive;RPG;Singleplayer;Stealth;Story Rich;Supernatural;Third Person;Vampire
2610,Action;Adventure;Atmospheric;Bullet Time;Classic;Controller;Cult Classic;Gore;Great Soundtrack;Horses;Open World;RPG;Sandbox;Shooter;Singleplayer;Story Rich;Third Person;Third-Person Shooter;Violent;Western
2620,Action;America;Atmospheric;Classic;Co-op;Difficult;First-Person;FPS;Historical;Linear;Military;Multiplayer;Old School;Realistic;Shooter;Singleplayer;Story Rich;Violent;War;World War II
2630,Action;Adventure;Atmospheric;Casual;Classic;Co-op;Controller;First-Person;FPS;Historical;Military;Multiplayer;Online Co-Op;Shooter;Simulation;Singleplayer;Story Rich;Violent;War;World War II
2640,Action;Atmospheric;Classic;First-Person;FPS;Historical;Military;Multiplayer;Shooter;Singleplayer;Story Rich;Violent;War;World War II
2700,Adventure;Building;Casual;City Builder;Classic;Comedy;Economy;Family Friendly;Free to Play;Funny;Great Soundtrack;Management;Moddable;Multiplayer;Open World;Real-Time with Pause;Sandbox;Simulation;Singleplayer;Strategy
2710,3D;Action;Destruction;Gore;Military;Multiplayer;Political;Politics;Real-Time;RTS;Singleplayer;Strategy;Top-Down;War
2720,3D;Action;Indie;Multiplayer;Real-Time;Space;Strategy;Team-Based
2800,Action;Economy;Exploration;Flight;Open World;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Space Sim;Strategy;Trading
2810,4X;Action;Economy;Exploration;Flight;Open World;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Space Sim;Strategy;Trading
2820,4X;Action;Atmospheric;Capitalism;Economy;Exploration;First-Person;Flight;Great Soundtrack;Management;Moddable;Open World;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Space Sim;Strategy;Trading
2840,Action;Adventure;Economy;Exploration;Flight;Open World;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Space Sim;Strategy;Trading
2850,Action;Economy;Flight;Open World;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Space Sim;Strategy
2870,Action;Adventure;Atmospheric;Economy;Exploration;First-Person;Flight;Great Soundtrack;Management;Moddable;Open World;Sandbox;Sci-fi;Shooter;Simulation;Singleplayer;Space;Space Sim;Strategy;Trading
2900,Military;Naval;Naval Combat;Simulation;Strategy;Submarine
2910,3D;Flight;Military;Naval;Naval Combat;Real-Time;RTS;Simulation;Strategy;Submarine;Underwater;War;Wargame
2920,Cold War;Difficult;Exploration;Indie;Military;Multiplayer;Naval;Naval Combat;Old School;Physics;Real-Time;Realistic;Retro;Simulation;Singleplayer;Strategy;Submarine;Underwater;War;Wargame
2990,3D;Action;Arcade;Automobile Sim;Baseball;Basketball;Bowling;Casual;Combat Racing;Destruction;Driving;Football (American);Funny;Local Multiplayer;Multiplayer;Physics;Racing;Singleplayer;Third Person;Vehicular Combat
3010,3D;Automobile Sim;Driving;Economy;Multiplayer;Offroad;Physics;Racing;Simulation;Singleplayer
3020,Action;Adventure;Atmospheric;Bullet Time;Classic;First-Person;FPS;Gore;Great Soundtrack;Multiplayer;Open World;Shooter;Singleplayer;Stealth;Story Rich;Violent;Western
3050,Automobile Sim;Multiplayer;Offroad;Racing;Simulation
3130,Historical;Military;RTS;Strategy;War;World War II
3170,Adventure;Classic;Fantasy;Female Protagonist;Great Soundtrack;Hex Grid;Nudity;Open World;RPG;Singleplayer;Strategy;Strategy RPG;Tactical;Tactical RPG;Turn-Based;Turn-Based Combat;Turn-Based Strategy
3230,RTS;Sci-fi;Space;Strategy
3260,Adventure;Casual;First-Person;Point & Click;Puzzle
3270,Action;Boomer Shooter;Classic;Co-op;Demons;First-Person;FPS;Gore;Horror;Multiplayer;Shooter;Singleplayer;Violent
3300,Casual;Classic;Great Soundtrack;Match 3;Puzzle;Relaxing;Singleplayer
3310,Casual;Cute;Funny;Match 3;Psychological Horror;Puzzle;Singleplayer
