steamid,appid,playtime_forever,playtime_2weeks
76561198164987397,933110,1081,0
76561198164987397,950670,0,0
76561198164987397,976730,367,0
76561198164987397,1029780,90,0
76561198164987397,1042800,0,0
76561198164987397,1055010,17,0
76561198164987397,1063730,8379,0
76561198164987397,1083500,17,0
76561198164987397,1085660,4383,0
76561198164987397,1086940,3848,0
76561198164987397,1091500,3105,0
76561198164987397,1114220,100,0
76561198164987397,1142710,3585,630
76561198164987397,1151340,448,0
76561198164987397,1171690,2391,0
76561198164987397,1172470,899,0
76561198164987397,1174180,860,0
76561198164987397,1184140,31,0
76561198164987397,1203620,328,0
76561198164987397,1217060,942,0
76561198164987397,1222670,1026,0
76561198164987397,1239300,29,0
76561198164987397,1240440,49,0
76561198164987397,1282100,2050,0
76561198164987397,1286830,2644,0
76561198164987397,1301720,124,0
76561198164987397,1307890,716,0
76561198164987397,1343370,1171,0
76561198164987397,1343400,1436,0
76561198164987397,1361210,39161,881
76561198164987397,1363080,253,0
76561198164987397,1422450,0,0
76561198164987397,1466860,395,0
76561198164987397,1549970,3539,0
76561198164987397,1599340,713,0
76561198164987397,1607680,107,0
76561198164987397,1625450,146,0
76561198164987397,1677740,193,0
76561198164987397,1794680,975,0
76561198164987397,1928420,312,0
76561198164987397,1938090,79,0
76561198164987397,1966720,2446,0
76561198164987397,2074920,8076,0
76561198164987397,2183900,5052,0
76561198164987397,2218750,72,0
76561198164987397,2225070,146,0
76561198164987397,2281730,30,0
76561198164987397,2334730,720,0
76561198164987397,2352620,643,0
76561198164987397,2386720,29,0
76561198164987397,2694490,3649,0
76561198164987397,2709570,124,0
76561198164987397,2767030,747,0
76561198164987397,2918300,55,0
76561198164987397,3164500,316,0
76561198164987397,3167020,617,0
76561198164987397,3240220,0,0
76561198164987397,3241660,163,0
76561198164987397,3405340,3327,0
76561198164987397,3564740,1500,0
76561198236701708,730,19223,43
76561198236701708,4000,3673,0
76561198236701708,17480,1783,0
76561198236701708,108600,1415,0
76561198236701708,202970,4,0
76561198236701708,202990,1018,0
76561198236701708,212910,793,0
76561198236701708,230410,88,0
76561198236701708,238960,1488,0
76561198236701708,242760,742,0
76561198236701708,255710,163,0
76561198236701708,264710,132,0
76561198236701708,275850,3923,0
76561198236701708,291550,1512,0
76561198236701708,304930,541,0
76561198236701708,346110,45822,0
76561198236701708,397900,1566,1325
76561198236701708,407530,81,0
76561198236701708,431960,548,0
76561198236701708,433850,2254,0
76561198236701708,439700,0,0
76561198236701708,440900,1225,0
76561198236701708,513710,98,0
76561198236701708,552500,173,0
76561198236701708,582660,0,0
76561198236701708,700330,268,0
76561198236701708,783770,163,0
76561198236701708,813780,5618,0
76561198236701708,813820,126,0
76561198236701708,815370,680,0
76561198236701708,905370,9,0
76561198236701708,931180,0,0
76561198236701708,945360,472,38
76561198236701708,990080,562,169
76561198236701708,1063730,3722,0
76561198236701708,1085660,2795,0
76561198236701708,1172470,4895,0
76561198236701708,1184140,22,0
76561198236701708,1238810,1982,0
76561198236701708,1241100,19,0
76561198236701708,1245620,573,0
76561198236701708,1276390,77,0
76561198236701708,1348690,0,0
76561198236701708,1625450,847,0
76561198236701708,1677740,276,0
76561198236701708,1782210,403,0
76561198236701708,1938090,6302,0
76561198236701708,1966720,1150,0
76561198236701708,1977530,176,0
76561198236701708,2016590,517,0
76561198236701708,2073850,29,0
76561198236701708,2075730,8,0
76561198236701708,2139460,365,0
76561198236701708,2239140,24,0
76561198236701708,2281730,59,0
76561198236701708,2427520,0,0
76561198236701708,2551020,125,0
76561198236701708,2709570,112,0
76561198236701708,2767030,2475,0
76561198236701708,2807960,15,0
76561198236701708,3081410,356,0
76561198236701708,3527290,380,0
76561198236701708,3564740,61,61
